player_id,name,first_name,second_name,web_name,position,team_id,team_name,team_short,current_price,price_change,selected_by_percent,total_points,points_per_game,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,status,chance_of_playing_this_round,chance_of_playing_next_round,news,news_added,form,transfers_in,transfers_out,transfers_in_event,transfers_out_event,photo_url,photo_code,penalties_taker,corners_taker,freekicks_taker,team_attack_strength,team_defence_strength,team_overall_strength,next_1_gw,next_1_opponent,next_1_difficulty,next_1_venue,next_2_gw,next_2_opponent,next_2_difficulty,next_2_venue,next_3_gw,next_3_opponent,next_3_difficulty,next_3_venue,next_4_gw,next_4_opponent,next_4_difficulty,next_4_venue,next_5_gw,next_5_opponent,next_5_difficulty,next_5_venue,next_6_gw,next_6_opponent,next_6_difficulty,next_6_venue,avg_fixture_difficulty_6gw,total_points_season_1_ago,minutes_season_1_ago,goals_scored_season_1_ago,assists_season_1_ago,clean_sheets_season_1_ago,start_cost_season_1_ago,end_cost_season_1_ago,total_points_season_2_ago,minutes_season_2_ago,goals_scored_season_2_ago,assists_season_2_ago,clean_sheets_season_2_ago,start_cost_season_2_ago,end_cost_season_2_ago,total_points_season_3_ago,minutes_season_3_ago,goals_scored_season_3_ago,assists_season_3_ago,clean_sheets_season_3_ago,start_cost_season_3_ago,end_cost_season_3_ago,goals_scored_per_90,assists_per_90,clean_sheets_per_90,goals_conceded_per_90,own_goals_per_90,penalties_saved_per_90,penalties_missed_per_90,yellow_cards_per_90,red_cards_per_90,saves_per_90,bonus_per_90,minutes_per_game,games_played,total_points_per_90
182,James Trafford,James,Trafford,Trafford,GKP,13,Man City,MCI,5.0,0.0,1.9,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a,,,,,0.0,1555,2126,1555,2126,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Simon_Murray.png/250px-Simon_Murray.png,432720.jpg,False,False,False,2500,2680,2590,1,20,3,A,2,18,3,H,3,6,3,A,4,14,3,H,5,1,4,A,6,3,2,H,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,Ederson Santana de Moraes,Ederson,Santana de Moraes,Ederson M.,GKP,13,Man City,MCI,5.5,0.0,3.3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a,,,,,0.0,2544,2793,2544,2793,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Simon_Murray.png/250px-Simon_Murray.png,121160.jpg,False,False,False,2500,2680,2590,1,20,3,A,2,18,3,H,3,6,3,A,4,14,3,H,5,1,4,A,6,3,2,H,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,Stefan Ortega Moreno,Stefan,Ortega Moreno,Ortega Moreno,GKP,13,Man City,MCI,5.0,0.0,0.3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a,,,,,0.0,79,335,79,335,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Simon_Murray.png/250px-Simon_Murray.png,88248.jpg,False,False,False,2500,2680,2590,1,20,3,A,2,18,3,H,3,6,3,A,4,14,3,H,5,1,4,A,6,3,2,H,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,Marcus Bettinelli,Marcus,Bettinelli,Bettinelli,GKP,13,Man City,MCI,4.0,0.0,0.2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a,,,,,0.0,123,133,123,133,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Simon_Murray.png/250px-Simon_Murray.png,122074.jpg,False,False,False,2500,2680,2590,1,20,3,A,2,18,3,H,3,6,3,A,4,14,3,H,5,1,4,A,6,3,2,H,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,Rayan Aït-Nouri,Rayan,Aït-Nouri,Aït-Nouri,DEF,13,Man City,MCI,6.0,0.0,20.8,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a,,,,,0.0,21519,5889,21519,5889,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Simon_Murray.png/250px-Simon_Murray.png,448514.jpg,False,False,False,2500,2680,2590,1,20,3,A,2,18,3,H,3,6,3,A,4,14,3,H,5,1,4,A,6,3,2,H,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,Joško Gvardiol,Joško,Gvardiol,Gvardiol,DEF,13,Man City,MCI,6.0,0.0,10.3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,i,0.0,0.0,Knock - Unknown return date,2025-08-15T14:00:07.606174Z,0.0,411,83027,411,83027,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Simon_Murray.png/250px-Simon_Murray.png,477424.jpg,False,False,False,2500,2680,2590,1,20,3,A,2,18,3,H,3,6,3,A,4,14,3,H,5,1,4,A,6,3,2,H,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,Manuel Akanji,Manuel,Akanji,Akanji,DEF,13,Man City,MCI,5.5,0.0,0.9,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a,,,,,0.0,1833,659,1833,659,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Simon_Murray.png/250px-Simon_Murray.png,211975.jpg,False,False,False,2500,2680,2590,1,20,3,A,2,18,3,H,3,6,3,A,4,14,3,H,5,1,4,A,6,3,2,H,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,Nathan Aké,Nathan,Aké,Aké,DEF,13,Man City,MCI,5.5,0.0,0.7,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a,,,,,0.0,1076,629,1076,629,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Simon_Murray.png/250px-Simon_Murray.png,126184.jpg,False,False,False,2500,2680,2590,1,20,3,A,2,18,3,H,3,6,3,A,4,14,3,H,5,1,4,A,6,3,2,H,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,Abdukodir Khusanov,Abdukodir,Khusanov,Khusanov,DEF,13,Man City,MCI,5.5,0.0,0.4,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a,,,,,0.0,701,619,701,619,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Simon_Murray.png/250px-Simon_Murray.png,578153.jpg,False,False,False,2500,2680,2590,1,20,3,A,2,18,3,H,3,6,3,A,4,14,3,H,5,1,4,A,6,3,2,H,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,Matheus Nunes,Matheus,Nunes,Matheus N.,DEF,13,Man City,MCI,5.5,0.0,0.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a,,,,,0.0,498,300,498,300,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Simon_Murray.png/250px-Simon_Murray.png,465351.jpg,True,False,False,2500,2680,2590,1,20,3,A,2,18,3,H,3,6,3,A,4,14,3,H,5,1,4,A,6,3,2,H,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
