team_id,gameweek,fixture_date,fixtures_in_window,congestion_index,days_since_last,days_to_next,is_home,opponent,base_rotation_risk,turnaround_risk,dgw_risk,total_rotation_risk
9,1,2025-08-18 19:00:00+00:00,2,1.0,,5,False,11,0.05,0.0,0.0,0.05
9,2,2025-08-24 13:00:00+00:00,3,1.5,5.0,6,True,6,0.15,0.1,0.0,0.25
9,3,2025-08-30 14:00:00+00:00,2,1.0,6.0,14,False,20,0.05,0.0,0.0,0.05
9,4,2025-09-13 14:00:00+00:00,2,1.0,14.0,6,True,2,0.05,0.0,0.0,0.05
9,5,2025-09-20 11:30:00+00:00,2,1.0,6.0,9,False,12,0.05,0.0,0.0,0.05
9,6,2025-09-29 19:00:00+00:00,2,1.0,9.0,4,True,19,0.05,0.0,0.0,0.05
9,7,2025-10-04 14:00:00+00:00,2,1.0,4.0,14,True,8,0.05,0.1,0.0,0.15000000000000002
9,8,2025-10-18 14:00:00+00:00,2,1.0,14.0,7,False,13,0.05,0.0,0.0,0.05
9,9,2025-10-25 14:00:00+00:00,2,1.0,7.0,7,True,18,0.05,0.0,0.0,0.05
9,10,2025-11-01 15:00:00+00:00,2,1.0,7.0,7,False,17,0.05,0.0,0.0,0.05
10,1,2025-08-16 14:00:00+00:00,1,0.5,,8,False,6,0.05,0.0,0.0,0.05
10,2,2025-08-24 15:30:00+00:00,2,1.0,8.0,5,True,14,0.05,0.0,0.0,0.05
10,3,2025-08-30 11:30:00+00:00,2,1.0,5.0,14,False,7,0.05,0.1,0.0,0.15000000000000002
10,4,2025-09-13 14:00:00+00:00,1,0.5,14.0,7,True,11,0.05,0.0,0.0,0.05
10,5,2025-09-20 19:00:00+00:00,2,1.0,7.0,6,True,5,0.05,0.0,0.0,0.05
10,6,2025-09-27 14:00:00+00:00,3,1.5,6.0,7,False,2,0.15,0.0,0.0,0.15
10,7,2025-10-04 14:00:00+00:00,2,1.0,7.0,14,False,4,0.05,0.0,0.0,0.05
10,8,2025-10-18 14:00:00+00:00,2,1.0,14.0,7,True,1,0.05,0.0,0.0,0.05
10,9,2025-10-25 14:00:00+00:00,2,1.0,7.0,7,False,15,0.05,0.0,0.0,0.05
10,10,2025-11-01 15:00:00+00:00,2,1.0,7.0,7,True,20,0.05,0.0,0.0,0.05
11,1,2025-08-18 19:00:00+00:00,2,1.0,,4,True,9,0.05,0.0,0.0,0.05
11,2,2025-08-23 16:30:00+00:00,3,1.5,4.0,7,False,1,0.15,0.1,0.0,0.25
11,3,2025-08-30 16:30:00+00:00,2,1.0,7.0,13,True,15,0.05,0.0,0.0,0.05
11,4,2025-09-13 14:00:00+00:00,2,1.0,13.0,7,False,10,0.05,0.0,0.0,0.05
11,5,2025-09-20 14:00:00+00:00,3,1.5,7.0,7,False,20,0.15,0.0,0.0,0.15
11,6,2025-09-27 14:00:00+00:00,3,1.5,7.0,7,True,4,0.15,0.0,0.0,0.15
